Label,URL,Threshold
Prostar,https://www.amazon.in/Ultimate-Nutrition-Prostar-100-Protein/dp/B000GK11U2/ref=sxts_sxwds-bia-wc-drs1_0?cv_ct_cx=prostar&dchild=1&keywords=prostar&pd_rd_i=B002EVPVCK&pd_rd_r=2fb33a26-ccb1-44cb-bb59-2170ee41b535&pd_rd_w=Koo3l&pd_rd_wg=vuRkW&pf_rd_p=78f37dea-5179-4893-a60a-ddc09ef44708&pf_rd_r=Q91X3ZP1BKPZ9HGFEZNG&qid=1599928873&sr=1-1-4c689def-da13-4510-8a81-e2efd0bc1178&th=1\,4000
Geyser,https://www.amazon.in/AO-Smith-HSE-VAS-25-Litre-2000-Watt/dp/B01892ML6Q/ref=sr_1_1_sspa?crid=25JDYXUVYKNO4&dchild=1&keywords=geyser+25+litre+water+heater&qid=1599976335&sprefix=geyser%2Caps%2C390&sr=8-1-spons&psc=1&spLa=ZW5jcnlwdGVkUXVhbGlmaWVyPUEzUjkxUzg5R0ZZVEpSJmVuY3J5cHRlZElkPUEwOTU4MzAxMVRWMVhLS0lCWUVFRSZlbmNyeXB0ZWRBZElkPUEwMjE5NDMyU0FUNkxSTFlTVjEwJndpZGdldE5hbWU9c3BfYXRmJmFjdGlvbj1jbGlja1JlZGlyZWN0JmRvTm90TG9nQ2xpY2s9dHJ1ZQ==,7000
